"ambientes";"property.surface_covered";"property.price";"property.surface_total";"year";"gimnasio";"cochera";"pileta";"precioM2";"precioM2Vecino";"X";"Y"
1;40;63000;40;2016;0;0;0;1575;1542.85714285714;2242907.03136572;6498211.70535373
1;40;68000;40;2016;0;0;0;1700;1547.61904761905;2242876.47236466;6498125.70925233
1;40;62000;40;2016;0;0;0;1550;1542.85714285714;2242907.03136572;6498211.70535373
1;43;85000;70;2016;0;0;0;1976.74418604651;1680.1730920535;2244152.35357387;6497735.32354892
1;40;75000;40;2016;0;0;0;1875;1317.02127659574;2242552.4134623;6498673.868039
2;65;125000;65;2016;0;0;0;1923.07692307692;1500;2242789.17584265;6498278.41998861
2;60;123600;65;2016;0;1;1;2060;1607.7380952381;2243913.88759905;6497803.43164076
1;40;69500;40;2016;0;0;0;1737.5;1542.85714285714;2242907.03136572;6498211.70535373
1;40;60000;40;2016;0;0;0;1500;1573.21428571429;2243070.80440543;6498066.21473548
1;42;79000;42;2016;0;0;0;1880.95238095238;1525;2242923.43734754;6498232.58101502
1;45;76000;45;2016;0;0;0;1688.88888888889;1500;2242849.49785741;6498255.71285305
1;40;105000;40;2016;0;0;0;2625;1311.11111111111;2242529.62837707;6498660.96790057
2;70;105000;70;2016;0;0;0;1500;1575.54347826087;2243075.48506632;6498074.07779716
1;40;71000;40;2016;0;0;0;1775;1547.61904761905;2242876.47236466;6498125.70925233
1;40;74000;40;2016;0;0;0;1850;1542.85714285714;2242907.03136572;6498211.70535373
1;40;88800;40;2016;0;0;0;2220;1317.02127659574;2242552.4134623;6498673.868039
1;40;76000;40;2016;0;0;0;1900;1547.61904761905;2242876.47236466;6498125.70925233
1;42;81000;42;2016;0;0;0;1928.57142857143;1500;2242849.49785741;6498255.71285305
1;42;82000;42;2016;0;0;0;1952.38095238095;1525;2242923.43734754;6498232.58101502
2;60;150000;60;2016;0;0;0;2500;1311.11111111111;2242529.62837707;6498660.96790057
1;40;67000;40;2016;0;0;0;1675;1311.11111111111;2242529.62837707;6498660.96790057
2;95;180000;120;2016;0;1;0;1894.73684210526;1824.26470588235;2243481.57038796;6497017.38992523
2;70;110000;70;2016;0;0;0;1571.42857142857;1575;2243077.24267691;6498069.85347587
2;70;115000;70;2016;0;0;0;1642.85714285714;1571.42857142857;2243069.92560494;6498068.3269007
1;40;75000;40;2016;0;0;0;1875;1311.11111111111;2242529.62837707;6498660.96790057
2;50;90000;50;2016;0;0;0;1800;1543.47826086957;2242896.13702696;6498161.57277403
1;40;75000;40;2016;0;0;0;1875;1542.85714285714;2242907.03136572;6498211.70535373
2;70;110000;70;2016;0;0;0;1571.42857142857;1575;2243073.29041456;6498072.18522371
1;240;220000;340;2015;0;1;0;916.666666666667;1312.5;2244574.95622425;6500193.84427661
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
5;835;1200000;3070;2015;0;1;1;1437.12574850299;1441.63979732842;2245213.52800441;6491521.48865707
1;260;220000;350;2015;0;1;1;846.153846153846;1312.5;2244574.95622425;6500193.84427661
4;336;230000;372;2015;0;1;1;684.52380952381;733.333333333333;2246128.87386628;6496370.53848563
1;52;50000;52;2016;0;0;0;961.538461538462;1456.43939393939;2243367.95687852;6497946.26275775
1;37;43000;42;2016;0;0;0;1162.16216216216;1355.93220338983;2243433.04948061;6499180.31513275
1;45;75534;67;2016;0;0;1;1678.53333333333;1250;2244269.69366069;6499058.60736788
1;48;82400;68;2016;0;0;1;1716.66666666667;1250;2244269.69366069;6499058.60736788
1;45;78965;68;2016;0;0;1;1754.77777777778;1250;2244269.69366069;6499058.60736788
3;160;175000;160;2016;0;1;1;1093.75;1166.66666666667;2241209.17364498;6505888.55637807
3;143;135000;180;2016;0;1;0;944.055944055944;957.142857142857;2244685.02581341;6502171.46866145
1;40;640000;55;2016;0;0;0;16000;1250;2244987.50075953;6501171.03320476
2;80;110000;86;2016;0;1;0;1375;1833.33333333333;2244499.53625962;6497525.99415218
2;60;130000;70;2016;1;0;1;2166.66666666667;1780;2244277.23547827;6497689.15043025
1;50;150000;65;2016;0;0;0;3000;1840;2244654.84604315;6497554.42621877
8;180;140000;800;2016;0;1;0;777.777777777778;913.978494623656;2238329.26462326;6501637.13793363
2;75;175000;85;2016;0;1;1;2333.33333333333;1375;2237541.42343513;6504285.10708091
2;65;175000;130;2016;0;1;1;2692.30769230769;1375;2237541.42343513;6504285.10708091
1;140;270000;144;2016;0;0;0;1928.57142857143;1840;2244654.84604315;6497554.42621877
